Job_ID,Skills,Years_of_Experience,Predicted_Job_Title,Company_Name,Company_Location,Industry,Salary (USD),Education_Level
JOB0001,"Kubernetes, Excel, Node.js, JavaScript",11,Technical Lead,Capgemini,New York,Healthcare,156000,BTech
JOB0002,"CSS, AWS, Docker, Node.js, Tableau, Django",5,Full Stack Developer,Accenture,Boston,Education,122000,"BTech, Masters"
JOB0003,"Tableau, Node.js, HTML, Excel",10,Lead DevOps Engineer,Microsoft,Austin,Finance,194000,Masters
JOB0004,"Django, JavaScript, Data Analysis, Node.js, Kubernetes, Java",5,Senior Software Engineer,Facebook,New York,Telecom,138000,BTech
JOB0005,"Power BI, Flask, Python",8,Lead DevOps Engineer,Amazon,San Francisco,E-commerce,180000,"Masters, BTech"
JOB0006,"Node.js, C++, Docker, AWS",1,AI Engineer,Accenture,Berlin,Telecom,73000,BTech
JOB0007,"CSS, React, Flask, SQL, HTML, AWS",14,Business Intelligence Analyst,Google,New York,Finance,174000,BTech
JOB0008,"Node.js, Tableau, HTML",10,Senior Web Developer,Microsoft,Boston,Finance,183000,"Masters, BTech"
JOB0009,"Node.js, HTML, Django, SQL, CSS",3,Technical Lead,IBM,San Francisco,Finance,86000,"Masters, BTech"
JOB0010,"Node.js, Excel, CSS, Power BI, C++",2,Senior Software Engineer,Cognizant,Austin,Finance,108000,Diploma
JOB0011,"Flask, AWS, React, Django, Tableau",10,Full Stack Developer,Accenture,Austin,Telecom,156000,Diploma
JOB0012,"SQL, Python, AWS, Django, Data Analysis, CSS",2,Business Intelligence Analyst,Accenture,Austin,E-commerce,62000,BTech
JOB0013,"Node.js, HTML, CSS, JavaScript",3,Full Stack Developer,Accenture,Seattle,IT,96000,"Masters, BTech"
JOB0014,"Excel, Node.js, Java, JavaScript, Machine Learning, AWS",7,Lead DevOps Engineer,Accenture,Seattle,Finance,148000,Diploma
JOB0015,"C++, Flask, JavaScript",9,Technical Lead,Amazon,New York,Finance,164000,"BTech, Masters"
JOB0016,"Kubernetes, Tableau, CSS",1,Senior Software Engineer,IBM,Seattle,Finance,60000,"BTech, Masters"
JOB0017,"Data Analysis, Django, Flask",2,Technical Lead,Cognizant,New York,Healthcare,74000,"Masters, BTech"
JOB0018,"AWS, HTML, Docker, SQL, Excel",2,Data Engineer,IBM,Boston,Finance,91000,Diploma
JOB0019,"Tableau, Node.js, AWS",6,Full Stack Developer,Accenture,Berlin,IT,111000,"Masters, BTech"
JOB0020,"JavaScript, Java, Docker",2,Lead DevOps Engineer,Microsoft,New York,Healthcare,87000,"BTech, Masters"
JOB0021,"Django, Python, Java, Node.js, React",2,Business Intelligence Analyst,Capgemini,Seattle,Finance,102000,BTech
JOB0022,"SQL, HTML, CSS, Flask, Data Analysis",14,Technical Lead,Google,San Francisco,Finance,172000,"Masters, BTech"
JOB0023,"Python, Java, Django, Tableau, SQL",4,Full Stack Developer,IBM,London,IT,109000,Diploma
JOB0024,"C++, CSS, SQL, Machine Learning, React, Kubernetes",4,Full Stack Developer,Amazon,London,E-commerce,109000,"Masters, BTech"
JOB0025,"Kubernetes, Power BI, Flask, JavaScript",14,AI Engineer,Amazon,New York,E-commerce,198000,BTech
JOB0026,"Data Analysis, Kubernetes, Docker, AWS",9,Senior Software Engineer,Microsoft,Seattle,Telecom,178000,BTech
JOB0027,"CSS, Data Analysis, Power BI",13,Data Engineer,Facebook,New York,Education,191000,"Masters, BTech"
JOB0028,"Kubernetes, Python, Tableau, JavaScript, Machine Learning, SQL",11,Data Engineer,IBM,Austin,Telecom,158000,Diploma
JOB0029,"Machine Learning, Python, Tableau, Java, Kubernetes",2,Technical Lead,Infosys,New York,E-commerce,81000,BTech
JOB0030,"Flask, Docker, JavaScript, Power BI, Data Analysis",3,Senior Web Developer,Cognizant,San Francisco,Education,80000,Diploma
JOB0031,"Python, CSS, Machine Learning",14,Senior Web Developer,Infosys,Austin,E-commerce,173000,BTech
JOB0032,"React, Power BI, Python, Node.js, AWS, Machine Learning",6,Business Intelligence Analyst,Capgemini,New York,IT,128000,"Masters, BTech"
JOB0033,"C++, Flask, AWS, SQL, Power BI",3,Business Intelligence Analyst,Amazon,New York,Healthcare,105000,"Masters, BTech"
JOB0034,"Python, React, AWS, Kubernetes, Machine Learning",9,Full Stack Developer,Accenture,Boston,Education,184000,"Masters, BTech"
JOB0035,"Data Analysis, JavaScript, React, Docker, Flask, Java",10,Data Engineer,Capgemini,Chicago,Education,161000,"BTech, Masters"
JOB0036,"Machine Learning, C++, Kubernetes, Power BI",13,Full Stack Developer,Accenture,New York,Telecom,165000,"Masters, BTech"
JOB0037,"Node.js, SQL, HTML",3,Lead DevOps Engineer,Facebook,New York,IT,91000,Diploma
JOB0038,"Docker, Data Analysis, Django, Flask",2,Business Intelligence Analyst,Capgemini,Berlin,Telecom,80000,"BTech, Masters"
JOB0039,"Node.js, Kubernetes, Power BI, Tableau",2,Lead DevOps Engineer,IBM,Chicago,Healthcare,63000,BTech
JOB0040,"Flask, Kubernetes, Power BI",9,Data Engineer,Accenture,London,Telecom,177000,"Masters, BTech"
JOB0041,"SQL, C++, Excel, Tableau, Machine Learning, Flask",3,AI Engineer,Capgemini,Boston,Telecom,61000,Diploma
JOB0042,"Excel, Docker, Python, Data Analysis, Kubernetes, C++",13,Business Intelligence Analyst,Amazon,Boston,Finance,170000,"BTech, Masters"
JOB0043,"Django, HTML, Kubernetes, Docker, Tableau",6,Senior Software Engineer,Accenture,New York,Education,139000,"BTech, Masters"
JOB0044,"Power BI, Excel, Flask",12,Technical Lead,Capgemini,Boston,IT,199000,"Masters, BTech"
JOB0045,"CSS, Node.js, Kubernetes, Data Analysis",7,Business Intelligence Analyst,Amazon,Berlin,Healthcare,142000,"BTech, Masters"
JOB0046,"React, CSS, SQL, AWS, Excel",2,AI Engineer,Google,Austin,Healthcare,68000,"Masters, BTech"
JOB0047,"React, Node.js, Tableau, Data Analysis",10,Senior Web Developer,Amazon,Chicago,Healthcare,170000,"Masters, BTech"
JOB0048,"Docker, Flask, SQL, Tableau, Node.js",6,Senior Web Developer,Microsoft,Seattle,Telecom,137000,Diploma
JOB0049,"Flask, React, JavaScript",7,AI Engineer,Amazon,San Francisco,Education,120000,"Masters, BTech"
JOB0050,"Machine Learning, SQL, CSS, C++, Data Analysis, Docker",3,Lead DevOps Engineer,Accenture,London,Finance,89000,"Masters, BTech"
JOB0051,"C++, Excel, Python",12,AI Engineer,Facebook,San Francisco,Healthcare,165000,"Masters, BTech"
JOB0052,"Power BI, AWS, Data Analysis, JavaScript, Flask, Node.js",9,Full Stack Developer,Google,Austin,Education,175000,Diploma
JOB0053,"Java, Power BI, Flask",2,Technical Lead,Cognizant,Boston,E-commerce,73000,"Masters, BTech"
JOB0054,"Tableau, C++, SQL, JavaScript, Node.js",7,Data Engineer,Capgemini,Chicago,Healthcare,148000,BTech
JOB0055,"Flask, SQL, CSS, C++, Node.js",3,Senior Web Developer,Infosys,Seattle,Healthcare,109000,"BTech, Masters"
JOB0056,"Data Analysis, SQL, Java",9,Data Engineer,Cognizant,San Francisco,IT,173000,BTech
JOB0057,"Docker, Flask, CSS",13,Senior Web Developer,IBM,San Francisco,Finance,160000,Diploma
JOB0058,"Tableau, HTML, CSS, Kubernetes",11,Senior Software Engineer,Cognizant,San Francisco,Finance,183000,"BTech, Masters"
JOB0059,"C++, JavaScript, AWS, Java",12,Technical Lead,Cognizant,San Francisco,Telecom,159000,"Masters, BTech"
JOB0060,"Python, Machine Learning, C++",11,Full Stack Developer,Accenture,San Francisco,E-commerce,168000,"BTech, Masters"
JOB0061,"Data Analysis, Excel, SQL, React",9,Technical Lead,Infosys,Boston,Healthcare,155000,BTech
JOB0062,"Tableau, Django, JavaScript",9,Lead DevOps Engineer,Cognizant,New York,Education,151000,BTech
JOB0063,"Power BI, Tableau, Docker, AWS",15,Full Stack Developer,Accenture,Boston,E-commerce,150000,"Masters, BTech"
JOB0064,"SQL, Node.js, Python, JavaScript",12,Data Engineer,Facebook,Berlin,Healthcare,167000,Diploma
JOB0065,"C++, Data Analysis, React, Java",8,Lead DevOps Engineer,Amazon,Chicago,IT,182000,"Masters, BTech"
JOB0066,"Machine Learning, Python, AWS, Excel, C++, Node.js",2,AI Engineer,Google,San Francisco,E-commerce,88000,Diploma
JOB0067,"Docker, Excel, Tableau, Power BI, Machine Learning",3,Senior Software Engineer,Facebook,New York,IT,89000,BTech
JOB0068,"Django, Machine Learning, C++, HTML, Power BI, AWS",8,Full Stack Developer,Google,Berlin,IT,179000,BTech
JOB0069,"JavaScript, C++, AWS, CSS, Java, Tableau",2,Lead DevOps Engineer,Infosys,Chicago,Education,79000,"BTech, Masters"
JOB0070,"Docker, Tableau, Flask, React, SQL, Node.js",12,Business Intelligence Analyst,Accenture,Boston,Telecom,162000,Diploma
JOB0071,"Machine Learning, Node.js, Kubernetes, Power BI, React, Docker",10,Full Stack Developer,Accenture,New York,Telecom,191000,BTech
JOB0072,"Excel, Java, JavaScript, HTML, Machine Learning, Python",2,Business Intelligence Analyst,Infosys,Boston,Telecom,103000,"Masters, BTech"
JOB0073,"C++, Machine Learning, Django, Tableau",9,Full Stack Developer,Google,San Francisco,Telecom,193000,BTech
JOB0074,"Node.js, C++, AWS, Data Analysis, JavaScript, Python",8,Senior Web Developer,Amazon,Berlin,Telecom,173000,Diploma
JOB0075,"Data Analysis, Flask, Power BI, Tableau, HTML",15,Business Intelligence Analyst,Microsoft,Boston,IT,179000,"BTech, Masters"
JOB0076,"SQL, Docker, Java, Excel, Django, React",11,Data Engineer,Microsoft,Chicago,Healthcare,159000,Diploma
JOB0077,"Django, Node.js, C++, Excel, CSS",1,Senior Software Engineer,IBM,London,E-commerce,74000,"Masters, BTech"
JOB0078,"Machine Learning, AWS, React, Java, Data Analysis",13,Full Stack Developer,Accenture,New York,Telecom,190000,"BTech, Masters"
JOB0079,"Kubernetes, CSS, Java, AWS, Power BI",2,Business Intelligence Analyst,IBM,Chicago,Education,101000,"BTech, Masters"
JOB0080,"Django, Node.js, JavaScript, Excel, React",13,Business Intelligence Analyst,Cognizant,San Francisco,E-commerce,194000,BTech
JOB0081,"React, Machine Learning, HTML, Data Analysis",15,Senior Web Developer,Cognizant,Seattle,Education,190000,Diploma
JOB0082,"Python, Data Analysis, HTML",7,Data Engineer,Facebook,Boston,Healthcare,145000,"BTech, Masters"
JOB0083,"AWS, Python, HTML, SQL",2,AI Engineer,Accenture,New York,IT,72000,"Masters, BTech"
JOB0084,"Python, SQL, Java, Power BI, HTML, Tableau",15,AI Engineer,Cognizant,Boston,E-commerce,163000,BTech
JOB0085,"Excel, HTML, SQL, Flask, JavaScript",12,Full Stack Developer,Google,San Francisco,E-commerce,192000,"BTech, Masters"
JOB0086,"Excel, C++, Machine Learning, CSS, JavaScript, Power BI",5,Business Intelligence Analyst,Capgemini,New York,Healthcare,116000,Diploma
JOB0087,"Django, Flask, Docker, Power BI, Kubernetes, CSS",3,Lead DevOps Engineer,Accenture,Austin,Healthcare,89000,"BTech, Masters"
JOB0088,"Docker, SQL, Kubernetes, Tableau",5,Full Stack Developer,Amazon,New York,IT,114000,Diploma
JOB0089,"Docker, Excel, CSS, C++, Data Analysis, HTML",9,Senior Software Engineer,Capgemini,Chicago,IT,169000,Diploma
JOB0090,"Docker, Django, Kubernetes, Machine Learning, Tableau, Java",4,AI Engineer,Capgemini,New York,Education,93000,BTech
JOB0091,"JavaScript, Power BI, CSS, Kubernetes, Java",10,Data Engineer,Accenture,Austin,IT,157000,BTech
JOB0092,"Docker, Excel, Django",15,Data Engineer,Amazon,Berlin,Telecom,186000,BTech
JOB0093,"Excel, Node.js, Kubernetes, Python",1,AI Engineer,Accenture,New York,Healthcare,62000,Diploma
JOB0094,"Flask, Data Analysis, Java, Power BI",2,Technical Lead,Cognizant,San Francisco,Finance,81000,"BTech, Masters"
JOB0095,"AWS, Django, Node.js",5,Business Intelligence Analyst,Accenture,New York,Healthcare,114000,Diploma
JOB0096,"C++, Node.js, Java, SQL, Machine Learning, Power BI",7,Data Engineer,Google,Seattle,Healthcare,144000,BTech
JOB0097,"Java, Docker, Power BI",5,Business Intelligence Analyst,Accenture,Berlin,E-commerce,138000,"BTech, Masters"
JOB0098,"Power BI, C++, Excel, JavaScript, HTML",10,Senior Web Developer,Microsoft,New York,Healthcare,185000,BTech
JOB0099,"Kubernetes, Power BI, Tableau, JavaScript, Java",13,Full Stack Developer,Amazon,San Francisco,IT,172000,"BTech, Masters"
JOB0100,"Kubernetes, Python, CSS, React, Node.js",8,Technical Lead,Infosys,New York,IT,196000,"Masters, BTech"
JOB0101,"Power BI, React, JavaScript",6,Business Intelligence Analyst,IBM,San Francisco,IT,143000,Diploma
JOB0102,"Django, Docker, React, CSS, Excel, HTML",8,Senior Software Engineer,Infosys,London,IT,197000,Diploma
JOB0103,"Docker, Data Analysis, Python, Django, Flask",4,Senior Web Developer,Amazon,New York,Telecom,97000,"Masters, BTech"
JOB0104,"React, Java, Flask",13,Full Stack Developer,Infosys,Boston,Telecom,176000,BTech
JOB0105,"CSS, Tableau, Data Analysis, React, HTML, Node.js",6,Senior Software Engineer,Amazon,San Francisco,Telecom,136000,"Masters, BTech"
JOB0106,"Power BI, Java, Excel, Python",4,Lead DevOps Engineer,Accenture,Berlin,Finance,103000,Diploma
JOB0107,"JavaScript, Node.js, Excel, Docker",3,Full Stack Developer,Amazon,Boston,Education,86000,"Masters, BTech"
JOB0108,"AWS, Docker, Java, JavaScript",14,Business Intelligence Analyst,Google,Berlin,Finance,199000,"Masters, BTech"
JOB0109,"Machine Learning, HTML, Excel, Flask, React",1,Data Engineer,Cognizant,New York,Healthcare,67000,Diploma
JOB0110,"Django, JavaScript, Python, Node.js, Docker",4,Technical Lead,Infosys,San Francisco,Healthcare,87000,Diploma
JOB0111,"Power BI, Python, Tableau",5,Full Stack Developer,Accenture,Austin,Telecom,132000,"Masters, BTech"
JOB0112,"Java, C++, CSS, Python, Data Analysis",3,Senior Software Engineer,Accenture,Berlin,IT,90000,Diploma
JOB0113,"Power BI, Flask, Python, Kubernetes",7,AI Engineer,IBM,San Francisco,IT,125000,"Masters, BTech"
JOB0114,"C++, Node.js, SQL, Tableau, AWS",9,Full Stack Developer,Amazon,Berlin,Healthcare,185000,BTech
JOB0115,"Power BI, Kubernetes, Node.js, JavaScript, Java, CSS",2,Lead DevOps Engineer,Google,Seattle,Healthcare,106000,"BTech, Masters"
JOB0116,"SQL, Excel, Tableau, CSS, Node.js",10,Lead DevOps Engineer,Microsoft,Seattle,Telecom,184000,"Masters, BTech"
JOB0117,"Kubernetes, Docker, Python, Excel",11,AI Engineer,Microsoft,Austin,Finance,169000,"BTech, Masters"
JOB0118,"Flask, JavaScript, Tableau, Kubernetes, Python",14,Senior Software Engineer,Cognizant,London,E-commerce,183000,Diploma
JOB0119,"C++, Flask, CSS, Excel, Data Analysis, Python",6,Full Stack Developer,Google,New York,Finance,128000,"BTech, Masters"
JOB0120,"SQL, Data Analysis, AWS",1,Technical Lead,Cognizant,Seattle,Education,73000,"BTech, Masters"
JOB0121,"Docker, Node.js, Java, Excel, SQL",3,Senior Software Engineer,Accenture,London,Finance,88000,Diploma
JOB0122,"Node.js, Django, JavaScript, Power BI, Kubernetes, React",10,Full Stack Developer,Microsoft,New York,Education,190000,"Masters, BTech"
JOB0123,"C++, JavaScript, Python, AWS, Tableau",13,Senior Software Engineer,Cognizant,Berlin,Telecom,194000,"BTech, Masters"
JOB0124,"Java, JavaScript, Flask, AWS",12,Data Engineer,Cognizant,San Francisco,IT,199000,"BTech, Masters"
JOB0125,"Machine Learning, Python, SQL, AWS",2,Full Stack Developer,IBM,Seattle,Healthcare,61000,Diploma
JOB0126,"Power BI, SQL, Flask, Node.js, Machine Learning, Tableau",12,AI Engineer,Infosys,Berlin,Education,181000,"Masters, BTech"
JOB0127,"Tableau, Docker, HTML, Kubernetes, Power BI",6,Senior Software Engineer,Google,New York,E-commerce,121000,"BTech, Masters"
JOB0128,"SQL, JavaScript, Power BI, Python, Django",2,Technical Lead,Accenture,San Francisco,Finance,71000,"BTech, Masters"
JOB0129,"Python, React, Django, HTML, Java",11,Data Engineer,Google,London,E-commerce,172000,Diploma
JOB0130,"React, CSS, Java, SQL, HTML, Javascript, Java",4,Full Stack Developer,Capgemini,Seattle,Telecom,87000,"Masters, BTech"
JOB0131,"C++, Java, Flask, Power BI, Kubernetes, Machine Learning",12,Lead DevOps Engineer,Accenture,San Francisco,Telecom,167000,Diploma
JOB0132,"Excel, AWS, Machine Learning",5,Full Stack Developer,Accenture,Boston,Telecom,132000,BTech
JOB0133,"Machine Learning, Python, Docker, CSS, JavaScript, Java",3,Lead DevOps Engineer,Google,Chicago,IT,104000,"Masters, BTech"
JOB0134,"Java, React, SQL, Excel, Django, Node.js",3,Senior Software Engineer,Google,Chicago,Telecom,107000,"BTech, Masters"
JOB0135,"Excel, JavaScript, Django, Java, AWS, C++",3,Senior Software Engineer,Capgemini,San Francisco,Telecom,109000,BTech
JOB0136,"Node.js, Java, Django, Machine Learning",4,Business Intelligence Analyst,IBM,Chicago,IT,101000,"Masters, BTech"
JOB0137,"Django, Flask, Excel, C++, Kubernetes, Docker",1,Senior Web Developer,Capgemini,New York,E-commerce,67000,"Masters, BTech"
JOB0138,"Excel, Java, Node.js",14,Senior Software Engineer,Google,Boston,Finance,171000,"Masters, BTech"
JOB0139,"Docker, C++, JavaScript",5,Business Intelligence Analyst,Microsoft,Seattle,E-commerce,142000,"BTech, Masters"
JOB0140,"SQL, Excel, Data Analysis, Python, AWS, Docker",7,Full Stack Developer,Accenture,Seattle,E-commerce,127000,"BTech, Masters"
JOB0141,"React, Java, Power BI, AWS",15,Technical Lead,Google,San Francisco,IT,164000,Diploma
JOB0142,"Excel, Java, Machine Learning, Docker",8,Data Engineer,Cognizant,Austin,Finance,172000,BTech
JOB0143,"C++, Kubernetes, JavaScript, Excel, Python, SQL",8,Senior Software Engineer,Amazon,Boston,Finance,181000,BTech
JOB0144,"Kubernetes, React, SQL, Data Analysis",12,Technical Lead,Accenture,Boston,E-commerce,191000,"BTech, Masters"
JOB0145,"AWS, React, Power BI, Machine Learning, Node.js",12,Business Intelligence Analyst,Infosys,London,Education,172000,"BTech, Masters"
JOB0146,"JavaScript, React, Machine Learning",1,Full Stack Developer,Cognizant,Berlin,Finance,69000,BTech
JOB0147,"SQL, HTML, Django",14,AI Engineer,Infosys,San Francisco,Education,160000,Diploma
JOB0148,"C++, React, Machine Learning, SQL",9,Senior Software Engineer,Amazon,Seattle,Healthcare,163000,"BTech, Masters"
JOB0149,"React, AWS, Excel, SQL, C++",10,Full Stack Developer,Amazon,Austin,IT,171000,"Masters, BTech"
JOB0150,"C++, Python, Django",3,Data Engineer,Accenture,Boston,E-commerce,87000,Diploma
JOB0151,"AWS, Java, Kubernetes, Python",1,Technical Lead,Google,San Francisco,E-commerce,62000,"Masters, BTech"
JOB0152,"Java, JavaScript, Python, Node.js",3,Senior Web Developer,Amazon,New York,Education,107000,"Masters, BTech"
JOB0153,"React, C++, Kubernetes, Data Analysis, Flask",1,AI Engineer,Accenture,New York,Finance,63000,"Masters, BTech"
JOB0154,"Java, HTML, Tableau, Docker, CSS, React",5,Full Stack Developer,Accenture,Chicago,IT,131000,"Masters, BTech"
JOB0155,"HTML, C++, AWS, Power BI, JavaScript",15,Senior Web Developer,Capgemini,New York,Education,166000,BTech
JOB0156,"HTML, Tableau, Python, Machine Learning, JavaScript",3,Technical Lead,Amazon,San Francisco,Healthcare,98000,"BTech, Masters"
JOB0157,"CSS, Excel, Java, AWS, Django, Machine Learning",4,Senior Web Developer,Capgemini,New York,IT,82000,"Masters, BTech"
JOB0158,"Python, Django, AWS",1,Full Stack Developer,Accenture,Austin,Finance,69000,BTech
JOB0159,"Excel, Java, Power BI, SQL, Machine Learning, Flask",2,Senior Software Engineer,Accenture,San Francisco,Healthcare,92000,"BTech, Masters"
JOB0160,"Data Analysis, Django, AWS",6,AI Engineer,Microsoft,Austin,Finance,119000,BTech
JOB0161,"React, Data Analysis, JavaScript, HTML, Tableau",8,Full Stack Developer,Accenture,Austin,Finance,171000,"Masters, BTech"
JOB0162,"SQL, Excel, C++, CSS",12,Lead DevOps Engineer,IBM,San Francisco,Finance,155000,Diploma
JOB0163,"Python, Machine Learning, Flask",10,Technical Lead,Accenture,San Francisco,Healthcare,197000,Diploma
JOB0164,"C++, React, JavaScript",3,Full Stack Developer,IBM,Chicago,Telecom,92000,Diploma
JOB0165,"C++, Django, Machine Learning",2,Full Stack Developer,Infosys,Chicago,Finance,79000,Diploma
JOB0166,"Power BI, CSS, Excel, Machine Learning",10,Lead DevOps Engineer,Amazon,New York,Education,158000,Diploma
JOB0167,"Tableau, Data Analysis, Machine Learning, React, Django, Power BI",14,Business Intelligence Analyst,Amazon,New York,E-commerce,183000,"BTech, Masters"
JOB0168,"Power BI, CSS, AWS",6,Business Intelligence Analyst,Accenture,Austin,Telecom,139000,"BTech, Masters"
JOB0169,"Tableau, JavaScript, AWS, Data Analysis, Python",1,Senior Software Engineer,Google,Chicago,Healthcare,70000,"BTech, Masters"
JOB0170,"Excel, Kubernetes, Node.js, JavaScript, Flask, AWS",2,Business Intelligence Analyst,Microsoft,London,E-commerce,68000,"Masters, BTech"
JOB0171,"Python, React, Node.js, C++",4,Data Engineer,Accenture,Chicago,Finance,104000,"BTech, Masters"
JOB0172,"Flask, Django, C++, Data Analysis, Machine Learning",3,Technical Lead,Accenture,Boston,IT,81000,Diploma
